,eng_caption,translated_caption,url
26,an image of road going down mountain,پہاڑی جانے کا تصویر,http://static.flickr.com/51/151727215_b63621ad67.jpg
27,two masked men pose in front of rice fields with their house and green field behind,دو آدمی چاول کے پودوں کے سامنے اپنے گھر اور سبز کھیت کے سامنے آتے ہیں,http://static.flickr.com/4091/5084290869_d82ccc6307.jpg
28,a very narrow alley in a city near a building,ایک عمارت کے قریب ایک شہر میں ایک بہت ہی تنگ ناں,http://static.flickr.com/3249/2888402349_c562a5ab1d.jpg
29,flowers and a building with a tower in the background,پھول اور پس منظر میں ایک ٹاور کے ساتھ,http://static.flickr.com/197/491990667_cdff7889c7.jpg
30,there is a small kitchen area with an old table,ایک پرانی میز کے ساتھ ایک چھوٹا سا باورچی‌خانہ ہے,http://static.flickr.com/3539/3418102234_f223a2705c.jpg
31,a street with a clock tower on it's side,اس طرف ایک گھڑی ٹاور کے ساتھ سڑک کے ساتھ ایک سڑک ہے,http://static.flickr.com/136/402353114_f645cef16c.jpg
32,a purple flower is in the middle of a pond,جامنی پھولوں کا پھول ایک ربر کے بیچ میں ہے,http://static.flickr.com/2634/4138616907_1239c1dbab.jpg
33,some people relax along the banks,کچھ لوگ بینک میں آرام کرتے ہیں,http://static.flickr.com/1124/534323324_7ea073d0be.jpg
34,a man with glasses and a banana in his mouth,ایک آدمی کو اپنے مُنہ میں ایک آدمی اور کیلے,http://static.flickr.com/4132/5034592141_aa5803a914.jpg
35,a branch with green leaves and a brown flower emerging from it,سبز پتوں سے ایک ڈالی اور ایک سبز پھول اس سے حاصل ہوتا ہے,http://static.flickr.com/174/464187471_3daf596618.jpg
36,the boy was asleep in his bed at a hotel,وہ لڑکا ہوٹل میں اپنے بستر پر سو رہا تھا,http://static.flickr.com/21/29043873_a94832355b.jpg
37,the fallen tree in the water,پانی میں گرے ہوئے درخت,http://static.flickr.com/4003/4267715885_5c6b7c6be3.jpg
38,a young child sitting on the beach with sand and shells,ایک نوجوان بچہ ریت اور موتیوں کیساتھ ساحل پر بیٹھا رہتا ہے,http://static.flickr.com/3164/2686949717_f5513b5c78.jpg
39,a young girl holding a cat in front of the sky,ایک نوجوان لڑکی آسمان کے سامنے ایک جال رکھتا ہے,http://static.flickr.com/1082/872143859_beeaacda70.jpg
40,a black and white cat sitting in a brown bag,سیاہ اور سفید رنگ کے بیگ میں بیٹھے ہوئے تختے پر بیٹھے ہوئے,http://static.flickr.com/89/243125811_c2523958f5.jpg
41,"a large, colorful painting on the side of a building",عمارت کی طرف ایک بڑا، رنگین رنگ,http://static.flickr.com/4060/4293196329_3972813ce5.jpg
42,the machine works god,مشین خدا کام کرتا ہے,http://static.flickr.com/3403/3275774730_8440865d45.jpg
43,an image of a mother and child,ماں اور بچے کی تصویر,http://static.flickr.com/2757/4410690593_def8da85fc.jpg
44,a black cat sits in a grass field,سیاہ بندر گھاس کے کھیت میں بیٹھتا ہے,http://static.flickr.com/5085/5275796821_ce19ef6de8.jpg
45,the balloon is flying high over the lake,گیند جھیل کے اُوپر اُوپر اُٹھا ہے,http://static.flickr.com/1367/540465074_6f8c1dacb3.jpg
46,an image of a door leading into a hallway,ایک دروازے کی تصویر,http://static.flickr.com/74/190587491_cf512bfb91.jpg
47,the sky above the forest in a clearing of green,آسمان کی طرف اُوپر سے بنے ہوئے جنگل میں,http://static.flickr.com/3180/2717499954_4c85f9449e.jpg
48,a male bike racer in a blue and white jersey,ایک نر سائیکل پر سائیکل چلاتے ہوئے سفید اور سفید رنگ میں دوڑنے لگتا ہے,http://static.flickr.com/4099/4788453723_848cd7174c.jpg
49,two young boys in a fenced in area,علاقے میں ایک باڑے میں دو نوجوان لڑکے,http://static.flickr.com/1040/813089478_c81f2176bc.jpg
50,a woman is taking a photo in front of the clock tower,ایک عورت کو گھڑی ٹاور کے سامنے ایک تصویر لے جا رہی ہے,http://static.flickr.com/2223/2134426827_b888561aca.jpg
51,a burned house in the aftermath of a big wildfire,ایک بڑے جنگلی آگ کے بعد ایک گھر جلاتا ہوا گھر,http://static.flickr.com/2027/1795731949_4a504cd14c.jpg
52,an old building is being demolished with a fence and weeds,ایک پُرانے عمارت کو باڑ اور کڑوے دانوں سے نکالا جا رہا ہے,http://static.flickr.com/1391/1132096416_95e61ce596.jpg
53,view from the train of the river with water going under it,دریا کی ریل‌گاڑی سے لیکر اُس کے نیچے سے گزرتے ہوئے نظر آتے ہیں,http://static.flickr.com/3302/3199462916_10abe2420d.jpg
54,a tree in the fall with orange leaves against a blue sky,نارنجی درخت کے پتے نیلے آسمان پر گِر جاتے ہیں,http://static.flickr.com/1069/1428224755_4f7938a0a9.jpg
55,two boys on top of the hill near to their home,دو لڑکے اپنے گھر کے قریب اپنے دو لڑکوں پر,http://static.flickr.com/32/51291995_323c881e2b.jpg
56,"the bed in the small room is in the corner of the room, where the bed is on the floor",بستر کمرے کے کونے میں ہے جہاں بستر فرش پر ہوتا ہے,http://static.flickr.com/54/140840205_42e8533abb.jpg
57,the bike in my house,میرے گھر میں سائیکل,http://static.flickr.com/3546/3391733550_7f511d9c3b.jpg
58,a black car crossing a bridge over the lake,ایک سیاہ کار جھیل کے اُوپر ایک سرے سے گزر رہی ہے,http://static.flickr.com/1306/575750303_44247d37d0.jpg
59,an old white house with a tree in front of it,اس کے سامنے ایک سفید گھر,http://static.flickr.com/4107/4991906474_cf956a8b1c.jpg
60,three men in their firemen's uniforms standing next to the truck in the middle of the night,ان کی آگ میں تین آدمی جو رات کے وسط میں ٹرک کے سامنے کھڑے ہیں,http://static.flickr.com/1113/3174114609_2cb9ec70e3.jpg
